,full file paths,md5,sha256,sha1,path parts
40,/home/writer/Documents/SweetScape/010 Templates/Repository/PHP.bt,8ce20085b451953718f5c9dde6565768,0977519032cc06d9bcea83cf2487d343c4e3955ac3241671f82848a28127429c,27b9169dcadc4ebcb6f8188590a57ee0c223ea7b,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'PHP.bt']"
41,/home/writer/Documents/SweetScape/010 Templates/Repository/XML.bt,6ee1cd31655cf4f8b2c5e45255e7a96f,6e6b6f04d61d8e8d6c118ff809e98b06a14e452923942daa4bab3454c51be214,fda105c939c9fc6a86777f46e223b99f50f76e39,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'XML.bt']"
42,/home/writer/Documents/SweetScape/010 Templates/Repository/HTML.bt,eca0658d894a3aec36f3daf3d2585e62,f27c045844e7be9147da611a8001efa027157bd7f5ee4599d36db4cdd39c4fd5,99c03e50ded38ac54ffb41a0c312671837783548,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Templates', 'Repository', 'HTML.bt']"
43,/home/writer/Documents/SweetScape/010 Scripts/Repository/Randomize.1sc,8dd96cca9885c1b951bf1f332aa8b5d0,afef282669ab827546ddb8d6e14e3d250f43449444719e702c73793751e2c8be,25fa10e1bf3306527c7d91d485bf0d45840a0b01,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'Randomize.1sc']"
44,/home/writer/Documents/SweetScape/010 Scripts/Repository/IsASCII.1sc,0c0b44a1bf06197a7500ce53b4b4a154,9cc4250cd9597a27ae30aaf1a58c89e0515608db53dfd4932235a7b295c3da57,eb3a71af9670b29c10a01213ab9b395be9fbe250,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'IsASCII.1sc']"
45,/home/writer/Documents/SweetScape/010 Scripts/Repository/MultiplePaste.1sc,19157da796e753dab75e9e565407ebc7,507a1700cbb7d7df5a91c2726157da4f3832a7b66c4a9e28ad9df03ad2fec947,d802b04d66b6753181e222c7eb863042af38e28d,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'MultiplePaste.1sc']"
46,/home/writer/Documents/SweetScape/010 Scripts/Repository/SplitFile.1sc,2e228ce508fcc69e6e11d1778edc370b,01ee795503c761b005a9ff9e0b4bbbcaa146f149b3c39e4bf4fb07cc0ef73dd6,318611de32a2d29f435ebca61cf9b7480a28453a,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'SplitFile.1sc']"
47,/home/writer/Documents/SweetScape/010 Scripts/Repository/JoinFile.1sc,41239ba7bb8d85b656fbbe0074b47e69,999bbb82debb803622b5d5078efa8b423eddc5833eb76f81acb2a0ccdb468572,623f8067246c75f922dcb7a87b1c99a5bf26ee9e,"['', 'home', 'writer', 'Documents', 'SweetScape', '010 Scripts', 'Repository', 'JoinFile.1sc']"
48,/home/writer/Documents/Technical Writing/external-content.duckduckgo.com.jpg,195c152b7e8023f893452ee4a853a728,5b5f438d279b2427636df76876dd802a9f4a14783226a2f408bc42fcac2b7432,2ff1352e5403b59f0dbac8f98a38f6c539fbeebd,"['', 'home', 'writer', 'Documents', 'Technical Writing', 'external-content.duckduckgo.com.jpg']"
49,/home/writer/Documents/Technical Writing/external-content.duckduckgo.com2.jpg,7aa6d11eabf184c26e519c6e751d0110,178e2d15094292917f729c255d06d0ebafc823790c77913ea942e8d036ba4fa0,f4255e7aebdfedb0c8123df336780b286584863c,"['', 'home', 'writer', 'Documents', 'Technical Writing', 'external-content.duckduckgo.com2.jpg']"
